id,attention,progress-belief,progress-binary,humanprogress1,humanprogress2,humanprogress3,humanprogress4,inevitableprogress1,inevitableprogress2,inevitableprogress3,inevitableprogress4,humanprogress-mean,inevitableprogress-mean,humanprogress-hilo,inevitableprogress-hilo,hilo-group,moral-setback-example,charity-choice - Selected Choice,charity-choice - None of these (please enter a charity of your choice) - Text,donation-amount,donation-binary,issue-importance,donation-confidence,gender,politics,age,religion,country
57,instructions,No,0,5,5,4,5,3,4,4,3,4.75,3.5,0,0,both-low,The January 6th insurrection at Capitol Hill. ,Democracy Works Inc.,,10,1,5,3,Man,Moderate,,Presbyterianism,United States of America
19,instructions,Yes,2,6,6,3,5,2,3,4,5,5,3.5,0,0,both-low,The overrun of western Europe and Scandinavia by criminals ,None of these (please enter a charity of your choice),Gun Policy Coalition,0,0,5,4,Man,Conservative,21,Mormonism (Latter Day Saints),United States of America
4,instructions,No,0,6,6,3,6,3,3,3,5,5.25,3.5,0,0,both-low,Any of the school shootings that have happened.,Giffords Law Center to Prevent Gun Violence,,1,1,6,4,Man,Conservative,50,Non-denominational Christianity,United States of America
81,instructions,Yes,2,6,6,6,3,5,3,3,3,5.25,3.5,0,0,both-low,Uyghur concentration camps in China,None of these (please enter a charity of your choice),,2,1,6,4,Man,Liberal,25,Agnosticism,United States of America
138,instructions,Not sure,1,6,5,5,5,3,3,4,4,5.25,3.5,0,0,both-low,abortion being left up to state legislation to decide,Abortion Care Network,,5,1,5,5,Man,Moderate,24,Islam,United States of America
42,instructions,Not sure,1,6,5,5,5,3,4,3,4,5.25,3.5,0,0,both-low,Women's reproductive rights being set back ,Abortion Care Network,,10,1,6,4,Man,Moderate,35,Agnosticism,United States of America
149,instructions,No,0,5,6,5,5,3,5,3,3,5.25,3.5,0,0,both-low,Republicans trying to outlaw abortion,Abortion Care Network,,10,1,5,4,Man,Very liberal,32,Agnosticism,United States of America
89,instructions,No,0,6,4,3,6,4,2,5,4,4.75,3.75,0,0,both-low,Rising violence and mass murder. Specifically shootings in the U.S. but also knife attacks in Europe. The mass violence in North Africa and Myanmar also come to mind. Russia's invasion of Ukraine. ,None of these (please enter a charity of your choice),I don't feel that charities are able to address the root problems that lead to the violence we see. ,0,0,7,1,Man,Politically Neutral,30,Jehovah's Witness,United States of America
95,instructions,Not sure,1,6,5,3,6,3,4,4,4,5,3.75,0,0,both-low,closing schools against scientific evidence,None of these (please enter a charity of your choice),American Federation for Children,1,1,6,4,Man,Moderate,38,Presbyterianism,United States of America
129,instructions,Yes,2,5,6,5,5,4,4,3,4,5.25,3.75,0,0,both-low,I was in line at a drive through window and some young males aggressively cut in front of me. Disrespecting social norms and they showed no remorse.,None of these (please enter a charity of your choice),Not sure who would approach such a minor issue.,1,1,5,2,Man,Moderate,45,Agnosticism,United States of America
73,instructions,Yes,2,7,6,2,6,3,6,3,3,5.25,3.75,0,0,both-low,Russia war on Ukraine,Hope for Ukraine Inc. ,,5,1,2,1,Man,Moderate,22,Islam,United States of America
69,instructions,Yes,2,6,5,5,5,2,6,4,3,5.25,3.75,0,0,both-low,Repeal of Roe vs Wade,Abortion Care Network,,10,1,4,5,Woman,Liberal,40,Spiritual but no religion,United States of America
91,instructions,Yes,2,6,6,4,6,2,6,2,5,5.5,3.75,0,0,both-low,The holocaust,None of these (please enter a charity of your choice),Simon Wiesenthal Center,18,1,7,5,Man,Conservative,57,Judaism,United States of America
76,instructions,Yes,2,5,5,4,5,5,4,4,3,4.75,4,0,0,both-low,Invasion of Ukrain,Hope for Ukraine Inc. ,,1,1,3,4,Man,Liberal,41,Atheism,United States of America
107,instructions,No,0,5,5,4,5,4,4,3,5,4.75,4,0,0,both-low,"President Trump's dislike of women, minorities, and handicap people.",Any Woman Can LLC,,1,1,6,6,Woman,Moderate,63,Baptist,United States of America
100,instructions,Yes,2,5,5,5,5,3,5,4,4,5,4,0,0,both-low,Abortion laws,Abortion Care Network,,0,0,7,4,Man,Moderate,18,Atheism,United States of America
141,banana,Not sure,1,6,5,5,6,3,5,4,4,5.5,4,0,0,both-low,"Human rights, your rights to make your own decision.",Abortion Care Network,,5,1,6,6,Woman,Moderate,38,None religious,Cambodia
110,instructions,No,0,4,5,3,3,4,5,6,2,3.75,4.25,0,1,inevitable-high,I think the pandemic has set us backwards eith regards to how many people were unwilling to abide by basic hygienic guidelines.,Voices for Racial Justice,,0,0,2,3,Man,Liberal,25,Atheism,United States of America
134,instructions,Yes,2,6,4,2,4,4,5,4,4,4,4.25,0,1,inevitable-high,Third wave feminism,A Bond of Love Adoption Agency Inc.,,10,1,3,6,Man,,30,Catholicism,United States of America
46,instructions,Yes,2,5,5,3,4,3,6,4,4,4.25,4.25,0,1,inevitable-high,Increased aggression of people in public places,Giffords Law Center to Prevent Gun Violence,,0,0,3,4,Man,Moderate,32,Mormonism (Latter Day Saints),United States of America
106,instructions,Not sure,1,6,5,2,6,4,4,6,3,4.75,4.25,0,1,inevitable-high,"Continued demonization of ""anti-vaxxers"" ",None of these (please enter a charity of your choice),none come to mind right now.. also the moneylaundering of the Ukraine scheme is another example,0,0,7,4,Man,political identity is a trap,29,follower of Christ,United States of America
65,instructions,Not sure,1,5,4,5,5,4,5,4,4,4.75,4.25,0,1,inevitable-high,Roe V Wade overturned,Abortion Care Network,,10,1,4,4,Woman,Very liberal,52,Buddhism,United States of America
140,Grapes,No,0,6,4,5,5,4,4,5,4,5,4.25,0,1,inevitable-high,Violece,Giffords Law Center to Prevent Gun Violence,,10,1,7,5,Woman,Liberal,64,Non-denominational Christianity,United States of America
7,instructions,Not sure,1,6,6,5,4,4,5,4,4,5.25,4.25,0,1,inevitable-high,"I think the political state of the US has set us back in moral progress. Some have views that are racist and mean, they seem to be uniting and dictating political discourse and laws. ",Voices for Racial Justice,,1,1,5,4,Woman,Moderate,44,Mormonism (Latter Day Saints),United States of America
112,instructions,Not sure,1,5,6,6,4,4,4,4,5,5.25,4.25,0,1,inevitable-high,A woman's right to choose abortion,Any Woman Can LLC,,19,1,7,7,Woman,Liberal,57,Agnosticism,United States of America
22,instructions,Yes,2,6,6,5,5,3,5,4,5,5.5,4.25,0,1,inevitable-high,The most recent one I can think of is probably the overturning of Roe v Wade,Abortion Care Network,,5,1,4,5,Woman,Moderate,28,Baptist,United States of America
17,instructions,No,0,6,5,2,4,2,6,4,6,4.25,4.5,0,1,inevitable-high,I do not think it has because I think America is more divided than ever. People don't think of others as people anymore.,Voices for Racial Justice,,0,0,6,1,Man,Conservative,19,Catholicism,United States of America
101,instructions,Yes,2,5,3,5,5,5,5,5,3,4.5,4.5,0,1,inevitable-high,Loss of abortion rights,Abortion Care Network,,0,0,6,4,Man,Very liberal,27,Spiritual but no religion,United States of America
131,instructions,Not sure,1,5,4,4,5,4,4,5,5,4.5,4.5,0,1,inevitable-high,aboration rights,Abortion Care Network,,0,0,5,4,Man,Moderate,40,Baptist,United States of America
44,instructions,Yes,2,6,6,5,5,4,6,5,3,5.5,4.5,0,1,inevitable-high,Roe v Wade being overturned,Abortion Care Network,,10,1,7,6,Woman,Liberal,40,Protestant/Pagan combo,United States of America
55,instructions,Yes,2,6,5,5,6,3,5,5,5,5.5,4.5,0,1,inevitable-high,Racism and colorism,Voices for Racial Justice,,10,1,6,4,Man,Conservative,30,Catholicism,United States of America
1,instructions,Yes,2,6,6,5,5,5,5,4,4,5.5,4.5,0,1,inevitable-high,"the treatment of garment workers by fast fashion companies, most notably shien",Democracy Works Inc.,,15,1,6,4,Non-binary,Very liberal,20,Atheism,United States of America
13,instructions,No,0,3,5,5,3,4,4,6,5,4,4.75,0,1,inevitable-high,I got fired from my job.,Any Woman Can LLC,,2,1,3,4,Man,Moderate,22,Judaism,United States of America
50,instructions,Not sure,1,4,6,5,4,5,4,4,6,4.75,4.75,0,1,inevitable-high,Dove,Voices for Racial Justice,,2,1,5,5,Man,,29,Lutheran,United States of America
8,instructions,Yes,2,2,4,7,7,3,4,6,6,5,4.75,0,1,inevitable-high,Equal rights for the LGBTQ community,Genders & Sexualities Alliance Network,,1,1,5,4,Woman,Liberal,19,Catholicism,United States of America
10,instructions,Not sure,1,6,4,5,6,4,6,4,5,5.25,4.75,0,1,inevitable-high,Neo Nazis protesting at different events,Democracy Works Inc.,,0,0,5,4,Man,Moderate,64,Atheism,United States of America
41,instructions,Yes,2,6,6,4,5,7,3,4,5,5.25,4.75,0,1,inevitable-high,Years ago the world thought homosexuality was a crime now it is legal in most places. Years ago the US economy thrived on slavery and now it is no longer done in the US . ,Genders & Sexualities Alliance Network,,2,1,4,4,Woman,Very conservative,42,Baptist,United States of America
62,instructions,Yes,2,6,5,5,5,5,5,5,4,5.25,4.75,0,1,inevitable-high,increase in hate crimes,Voices for Racial Justice,,10,1,5,4,Woman,Liberal,24,Atheism,United States of America
127,banana,Not sure,1,6,5,6,5,5,4,5,5,5.5,4.75,0,1,inevitable-high,"The young generation doesn't have very high value, if any.",None of these (please enter a charity of your choice),Stand up for the Kids,20,1,6,6,Woman,Conservative,56,Non-denominational Christianity,United States of America
37,instructions,Yes,2,6,5,4,5,5,5,5,5,5,5,0,1,inevitable-high,the Russians invasion of Ukraine ,Hope for Ukraine Inc. ,,0,0,5,4,Man,Liberal,35,Agnosticism,United States of America
26,instructions,Yes,2,5,5,5,6,5,5,5,5,5.25,5,0,1,inevitable-high,"Feminist used to be supporting equality for men and women, but now are supporting being superior and being better than men",Genders & Sexualities Alliance Network,,10,1,5,2,Man,Moderate,21,Catholicism,United States of America
67,instructions,Yes,2,6,5,6,5,5,5,5,5,5.5,5,0,1,inevitable-high,Lack of gun control in America,Giffords Law Center to Prevent Gun Violence,,10,1,5,3,Man,Liberal,41,Atheism,United States of America
144,instructions,Yes,2,5,5,6,4,6,6,5,4,5,5.25,0,1,inevitable-high,Biases affecting treament in the workplace.,Democracy Works Inc.,,5,1,4,4,Man,Liberal,24,Agnosticism,United States of America
58,instructions,Yes,2,6,4,4,6,5,6,6,5,5,5.5,0,1,inevitable-high,Banning abortion,Abortion Care Network,,0,0,6,4,Woman,Conservative,27,Catholicism,United States of America
48,instructions,Yes,2,5,6,5,6,5,6,6,5,5.5,5.5,0,1,inevitable-high,Russia invading Ukraine,Hope for Ukraine Inc. ,,5,1,4,4,Woman,Conservative,68,Spiritual but no religion,United States of America
59,instructions,Not sure,1,5,6,5,6,3,5,7,7,5.5,5.5,0,1,inevitable-high,"That one political candidate who is ""Pro-life"" but pushed women to get abortions",None of these (please enter a charity of your choice),Save the Storks,20,1,4,6,Woman,Liberal,35,Presbyterianism,United States of America
21,instructions,Yes,2,6,5,4,4,6,7,5,6,4.75,6,0,1,inevitable-high,Russian invasion of Ukraine,Hope for Ukraine Inc. ,,0,0,3,4,Man,Very conservative,38,Catholicism,United States of America
92,instructions,Yes,2,6,5,3,7,6,7,6,5,5.25,6,0,1,inevitable-high,Discrimination in the modern era and the overturning of roe v wade,Voices for Racial Justice,,10,1,6,6,Woman,Liberal,22,Spiritual but no religion,United States of America
70,instructions,Yes,2,5,6,6,5,6,6,6,6,5.5,6,0,1,inevitable-high,Wars undoubtedly halt progress. ,Hope for Ukraine Inc. ,,5,1,5,4,Man,Conservative,24,Baptist,United States of America
40,instructions,No,0,7,7,7,6,1,1,1,1,6.75,1,1,0,human-high,society seems to be regressing on trans rights and freedoms,Genders & Sexualities Alliance Network,,0,0,7,4,Non-binary,Very liberal,37,Agnosticism,United States of America
128,instructions,No,0,7,7,7,2,2,1,1,1,5.75,1.25,1,0,human-high,"When the Baby Boomers voted for Ronald Reagan --twice-- they proved themselves to be abject hypocrites, set the stage to commodify their own children, and sealed the fate of the planet.",Democracy Works Inc.,,0,0,4,1,Man,Very liberal,42,Atheism,United States of America
111,instructions,No,0,7,7,3,7,1,3,1,1,6,1.5,1,0,human-high,Death of George Floyd,Voices for Racial Justice,,10,1,7,4,Woman,Liberal,48,Atheism,United States of America
66,instructions,Yes,2,6,6,5,6,2,2,1,2,5.75,1.75,1,0,human-high,Trump running for president,Democracy Works Inc.,,5,1,4,3,Man,Moderate,24,Agnosticism,United States of America
93,instructions,Not sure,1,5,7,5,7,1,4,1,1,6,1.75,1,0,human-high,The Supreme Court declined to protect abortion rights.,Abortion Care Network,,5,1,7,4,Woman,Very liberal,42,Atheism,United States of America
16,instructions,No,0,7,7,7,6,1,4,1,1,6.75,1.75,1,0,human-high,"in the USA, conservatives are clamping down on basic rights for women, LGBTQ community, and many other groups",Abortion Care Network,,20,1,7,4,Man,Very liberal,33,Atheism,United States of America
102,instructions,Not sure,1,6,6,6,6,2,2,2,2,6,2,1,0,human-high,Vaccine mandates,None of these (please enter a charity of your choice),Direct contributions,0,0,7,4,Man,Moderate,33,Non-denominational Christianity,United States of America
36,instructions,No,0,7,7,6,6,1,3,1,4,6.5,2.25,1,0,human-high,"Shelby County v. Holder, eliminating protections established in the Voting Rights Act",Democracy Works Inc.,,0,0,6,3,Woman,Very liberal,33,Agnosticism,United States of America
35,instructions,No,0,7,7,7,7,2,2,1,4,7,2.25,1,0,human-high,The current conflict in Ukraine,Hope for Ukraine Inc. ,,5,1,3,6,Man,Liberal,36,Agnosticism,United States of America
132,instructions,Yes,2,7,7,7,7,1,6,1,1,7,2.25,1,0,human-high,The overturning of Roe v Wade,Abortion Care Network,,5,1,6,7,Man,Very liberal,33,Atheism,United States of America
117,instructions,Yes,2,6,6,5,6,2,2,2,4,5.75,2.5,1,0,human-high,significant hostitlity towards the trans community (at least in the US),Genders & Sexualities Alliance Network,,0,0,5,4,Woman,Very liberal,52,Atheism,United States of America
87,instructions,Not sure,1,6,6,5,6,3,3,1,3,5.75,2.5,1,0,human-high,The morality of protecting health care workers and nurses when mistakes are made and not upholding just cukture,Democracy Works Inc.,,10,1,5,4,Woman,Moderate,22,Baptist,United States of America
47,instructions,Not sure,1,7,7,7,7,1,5,1,3,7,2.5,1,0,human-high,An example of moral progress being set back would be the January 6th insurrection and the dismissal of it by Congress.,Democracy Works Inc.,,10,1,7,5,Woman,Liberal,63,Presbyterianism,United States of America
116,instructions,Not sure,1,6,6,5,7,2,5,2,2,6,2.75,1,0,human-high,Banning abortion,Abortion Care Network,,20,1,5,4,Woman,Liberal,24,Spiritual but no religion,United States of America
2,instructions,Yes,2,6,6,7,6,3,4,1,3,6.25,2.75,1,0,human-high,Roe v. Wade reversal,Abortion Care Network,,2,1,7,4,Woman,Very liberal,22,Agnosticism,United States of America
32,instructions,No,0,7,6,6,7,3,3,2,3,6.5,2.75,1,0,human-high,It recently came to light that a well known internet and tv personality cheated on his wife that he has two children with after portraying himself as a very strong family oriented man.,Any Woman Can LLC,,5,1,6,6,Woman,Liberal,36,Methodist,United States of America
125,instructions,Not sure,1,7,6,7,7,3,3,3,2,6.75,2.75,1,0,human-high,police brutality against black bodies,Voices for Racial Justice,,20,1,7,4,Woman,Very liberal,19,Agnosticism,United States of America
20,instructions,Yes,2,6,6,6,6,2,6,2,2,6,3,1,0,human-high,The killing of the unborn in abortion.,A Bond of Love Adoption Agency Inc.,,,,7,6,Woman,Conservative,63,Catholicism,United States of America
78,instructions,Yes,2,6,6,7,6,2,5,2,3,6.25,3,1,0,human-high,The overturning of Roe v Wade.,Abortion Care Network,,5,1,7,6,Man,Very liberal,28,Catholicism,United States of America
85,instructions,Yes,2,7,6,7,7,3,4,3,2,6.75,3,1,0,human-high,Kyrie Irving promoting a movie that includes anti-Semitic messages and not receiving any punishment for it,Voices for Racial Justice,,5,1,6,4,Man,Moderate,29,Agnosticism,United States of America
18,instructions,Yes,2,6,6,7,6,6,2,2,3,6.25,3.25,1,0,human-high,roe v wade was overturned,Abortion Care Network,,0,0,7,4,Woman,Liberal,33,Agnosticism,United States of America
75,instructions,Yes,2,7,7,6,7,2,5,1,5,6.75,3.25,1,0,human-high,Police brutality against people of color,Voices for Racial Justice,,20,1,7,6,Woman,Very liberal,30,Atheism,United States of America
90,instructions,Yes,2,7,7,5,5,4,5,3,2,6,3.5,1,0,human-high,The Ukraine-Russian war is an example of moral progress not occurring.,Hope for Ukraine Inc. ,,1,1,6,5,Man,Moderate,37,Agnosticism,United States of America
27,instructions,No,0,6,6,6,6,3,3,3,5,6,3.5,1,0,human-high,Russia invading Ukraine,Hope for Ukraine Inc. ,,10,1,7,7,Woman,Liberal,72,Judaism,United States of America
52,instructions,Yes,2,6,6,7,6,2,6,2,4,6.25,3.5,1,0,human-high,Attempts to undo the voting rights act,Democracy Works Inc.,,5,1,6,4,Woman,Very liberal,25,Agnosticism,United States of America
142,instructions,Yes,2,7,7,6,5,5,3,3,3,6.25,3.5,1,0,human-high,The prison system,Voices for Racial Justice,,20,1,5,5,Woman,Very liberal,19,Atheism,United States of America
30,instructions,Yes,2,6,6,6,5,4,5,4,2,5.75,3.75,1,0,human-high,The attack on Paul Pelosi by a far-right conspiracist. ,Democracy Works Inc.,,0,0,4,4,Woman,Liberal,27,Agnosticism,United States of America
146,instructions,Not sure,1,6,6,5,6,3,5,4,3,5.75,3.75,1,0,human-high,the overturning of roe vs wade.,Abortion Care Network,,20,1,7,7,Man,Liberal,38,Atheism,United States of America
11,instructions,Yes,2,6,6,6,6,2,6,2,5,6,3.75,1,0,human-high,January 6 insurrection,Democracy Works Inc.,,0,0,5,4,Woman,Moderate,32,Agnosticism,United States of America
94,instructions,Yes,2,6,6,6,5,3,5,5,3,5.75,4,1,0,human-high,A Trump presidency for 4 years,Democracy Works Inc.,,0,0,5,3,Woman,Liberal,39,Agnosticism,United States of America
25,instructions,Yes,2,7,5,5,6,2,6,6,2,5.75,4,1,1,both-high,Politicians being morally bankrupt using lies and false truths to sway public opinion in their favor.,Democracy Works Inc.,,3,1,6,3,Man,Moderate,41,Agnosticism,United States of America
104,instructions,Yes,2,6,6,6,5,3,5,5,3,5.75,4,1,1,both-high,court rulings,Voices for Racial Justice,,5,1,6,5,Woman,Moderate,26,Non-denominational Christianity,United States of America
105,instructions,Not sure,1,7,6,5,6,3,5,4,4,6,4,1,1,both-high,Putin's invasion of Ukraine,Hope for Ukraine Inc. ,,10,1,7,5,Woman,Liberal,76,Lutheran,United States of America
88,instructions,Not sure,1,7,6,7,7,3,5,4,4,6.75,4,1,1,both-high,overturning roe vs wade,Abortion Care Network,,2,1,5,4,Woman,Very liberal,64,Baptist,United States of America
137,instructions,Not sure,1,6,5,6,7,3,5,4,5,6,4.25,1,1,both-high,When we had a president that supported the white supremacy movement and spoke in a pejorative manner about women.,Genders & Sexualities Alliance Network,,20,1,7,6,Woman,Liberal,56,Spiritual but no religion,United States of America
103,instructions,Yes,2,7,7,4,7,4,6,2,5,6.25,4.25,1,1,both-high,Russia's invasion of Ukraine,Hope for Ukraine Inc. ,,2,1,6,4,Man,Conservative,37,Baptist,United States of America
83,instructions,Yes,2,6,7,7,5,5,5,2,5,6.25,4.25,1,1,both-high,Kanye West perpetuating antisemitism against the Jewish people,None of these (please enter a charity of your choice),StandWithUS,20,1,7,6,Woman,Liberal,24,Judaism,United States of America
98,instructions,No,0,7,7,5,7,3,4,5,5,6.5,4.25,1,1,both-high,the normalization of BDSM,None of these (please enter a charity of your choice),RAINN,20,1,7,5,Woman,Moderate,31,Non-denominational Christianity,United States of America
51,instructions,Yes,2,6,7,7,6,2,6,3,6,6.5,4.25,1,1,both-high,Taking away women's rights to abortion in the US,Abortion Care Network,,20,1,6,6,Woman,Very liberal,26,Agnosticism,United States of America
133,instructions,Yes,2,6,6,5,6,4,5,4,5,5.75,4.5,1,1,both-high,the hospitality towards Asians in America due to COVID19,Voices for Racial Justice,,0,0,6,3,Man,Moderate,57,Spiritual but no religion,United States of America
147,instructions,Yes,2,6,6,4,7,5,4,5,4,5.75,4.5,1,1,both-high,"America's withdrawal of Afghanistan. I'm not political in anyway, shape or form. But I can acknowledge that we doomed 10s of thousands to hundreds of thousands of people to a country that is run by extremists. When women are throwing there children over massive security fences (unknowing to the concertina wire on the other side) in the slim hope US soldiers evacuating everyone would notice. I'm not for war, especially for Americas greedy reasons for it. But the women and children of that country suffer to unimaginable degrees. The US just abandoned them to there fate. That is a massive setback to humanity in my eyes. ",None of these (please enter a charity of your choice),International Rescue Committee,17,1,7,6,Man,Moderate,22,I'm unsure of my religious views,United States of America
31,instructions,No,0,7,5,6,6,5,4,5,4,6,4.5,1,1,both-high,Elections and the campaings. All the social media lies on both sides. Just state the facts and let people make there own moral minds up,Democracy Works Inc.,,10,1,7,6,Woman,Very conservative,67,Baptist,United States of America
72,instructions,Not sure,1,7,7,5,5,5,5,4,4,6,4.5,1,1,both-high,Someone needed financial pardon but she wasn't granted from most places she went to but she was able to get help at the end of the day though.,Democracy Works Inc.,,12,1,5,5,Woman,Moderate,21,Pentecostalism,United States of America
33,instructions,Yes,2,7,6,6,6,2,4,7,5,6.25,4.5,1,1,both-high,In the middle east where they still treat women like pets,Hope for Ukraine Inc. ,,0,0,4,6,Man,Moderate,31,Spiritual but no religion,United States of America
9,instructions,Yes,2,7,6,5,7,2,7,3,6,6.25,4.5,1,1,both-high,Recently there is judgement on things such as religious beliefs that people i put ideals on others,A Bond of Love Adoption Agency Inc.,,4,1,5,2,Woman,Conservative,22,Catholicism,United States of America
113,banana,Yes,2,6,7,7,5,4,6,4,4,6.25,4.5,1,1,both-high,"There are so many, but the ones I immediately thought of is racism and anti-semitism. It's 2022 but racism towards black people (and other people of color) still remains. ",Voices for Racial Justice,,5,1,6,3,Woman,Liberal,26,Catholicism,Philippines
123,instructions,Yes,2,6,6,7,6,4,5,4,5,6.25,4.5,1,1,both-high,The overturning of Roe v. Wade and the nations abortion access being threatened.,Abortion Care Network,,5,1,7,5,Woman,Very liberal,25,Agnosticism,United States of America
99,instructions,Not sure,1,6,5,6,6,4,4,5,6,5.75,4.75,1,1,both-high,The rise in Asian American hate after COVID-19 related racism.,Voices for Racial Justice,,0,0,5,4,Woman,Liberal,20,Atheism,United States of America
114,instructions,Not sure,1,7,6,6,5,3,6,5,5,6,4.75,1,1,both-high,overturning roe v wade,Abortion Care Network,,5,1,7,7,Woman,Very liberal,37,Non-denominational Christianity,United States of America
15,instructions,Yes,2,6,5,6,7,4,7,4,4,6,4.75,1,1,both-high,Putin's war against Ukraine,Hope for Ukraine Inc. ,,20,1,5,6,Woman,Liberal,70,Agnosticism,United States of America
24,instructions,Yes,2,6,6,5,7,5,5,4,5,6,4.75,1,1,both-high,the murder of George Floyd ,Voices for Racial Justice,,20,1,5,5,Woman,Liberal,28,Agnosticism,United States of America
43,instructions,Yes,2,6,6,6,6,4,6,5,4,6,4.75,1,1,both-high,I think the war in the Ukraine is a perfect example,Hope for Ukraine Inc. ,,20,1,6,5,Man,Liberal,40,Atheism,United States of America
12,instructions,Yes,2,7,7,5,7,5,7,5,2,6.5,4.75,1,1,both-high,U.S. Supreme Court overturning Roe V. Wade,Voices for Racial Justice,,10,1,6,5,Man,Liberal,23,Spiritual,United States of America
63,instructions,Yes,2,6,7,7,6,5,6,5,3,6.5,4.75,1,1,both-high,Roe V. Wade,Abortion Care Network,,10,1,6,6,Woman,Liberal,19,Wiccan-related ,United States of America
23,instructions,Yes,2,6,6,5,6,4,6,4,6,5.75,5,1,1,both-high,treating non vaccinated Americans like second class citizens and having no empathy for their choices,None of these (please enter a charity of your choice),Backstoppers,0,0,7,7,Woman,Conservative,36,Baptist,United States of America
